word,index
the,4
a,5
and,6
of,7
to,8
is,9
in,10
i,11
this,12
that,13
it,14
/><br,15
was,16
as,17
with,18
for,19
but,20
on,21
movie,22
are,23
not,24
his,25
you,26
film,27
have,28
be,29
he,30
at,31
one,32
by,33
an,34
they,35
from,36
all,37
who,38
like,39
so,40
just,41
or,42
has,43
about,44
it's,45
her,46
if,47
some,48
out,49
what,50
very,51
when,52
there,53
more,54
would,55
even,56
good,57
my,58
she,59
their,60
only,61
no,62
really,63
had,64
up,65
can,66
which,67
see,68
were,69
than,70
-,71
we,72
been,73
get,74
into,75
will,76
much,77
because,78
most,79
story,80
how,81
other,82
don't,83
also,84
do,85
its,86
time,87
me,88
great,89
first,90
make,91
people,92
could,93
/>the,94
any,95
after,96
then,97
made,98
bad,99
think,100
many,101
being,102
never,103
him,104
two,105
where,106
too,107
<br,108
little,109
well,110
watch,111
way,112
your,113
it.,114
did,115
them,116
movie.,117
love,118
know,119
best,120
does,121
seen,122
characters,123
these,124
character,125
movies,126
ever,127
still,128
over,129
plot,130
films,131
such,132
acting,133
show,134
should,135
while,136
those,137
better,138
off,139
film.,140
go,141
something,142
say,143
through,144
why,145
doesn't,146
didn't,147
i'm,148
scene,149
makes,150
watching,151
"movie,",152
"film,",153
real,154
find,155
back,156
actually,157
every,158
scenes,159
man,160
few,161
going,162
/>i,163
life,164
new,165
same,166
look,167
nothing,168
lot,169
another,170
quite,171
thing,172
&,173
want,174
end,175
pretty,176
old,177
seems,178
can't,179
before,180
got,181
take,182
actors,183
give,184
years,185
part,186
that's,187
between,188
may,189
young,190
i've,191
without,192
us,193
both,194
big,195
now,196
thought,197
things,198
"it,",199
gets,200
around,201
must,202
saw,203
almost,204
though,205
director,206
always,207
isn't,208
here,209
come,210
own,211
down,212
horror,213
whole,214
might,215
work,216
"""the",217
am,218
there's,219
cast,220
bit,221
feel,222
probably,223
he's,224
enough,225
since,226
last,227
least,228
long,229
funny,230
far,231
rather,232
each,233
kind,234
found,235
fact,236
our,237
original,238
world,239
guy,240
anything,241
worst,242
trying,243
having,244
action,245
interesting,246
done,247
right,248
comes,249
making,250
believe,251
music,252
"however,",253
anyone,254
put,255
point,256
main,257
worth,258
played,259
goes,260
/>this,261
looking,262
hard,263
tv,264
looks,265
yet,266
especially,267
wasn't,268
watched,269
role,270
series,271
family,272
minutes,273
during,274
seem,275
someone,276
plays,277
takes,278
comedy,279
script,280
three,281
sure,282
performance,283
shows,284
away,285
different,286
maybe,287
everything,288
although,289
set,290
times,291
time.,292
woman,293
american,294
girl,295
left,296
simply,297
seeing,298
you're,299
play,300
fun,301
once,302
completely,303
john,304
special,305
used,306
everyone,307
"well,",308
reason,309
again,310
true,311
read,312
--,313
need,314
use,315
black,316
high,317
idea,318
until,319
sense,320
dvd,321
truly,322
given,323
beautiful,324
recommend,325
came,326
nice,327
place,328
try,329
half,330
job,331
rest,332
help,333
along,334
ending,335
getting,336
couple,337
keep,338
let,339
version,340
shot,341
excellent,342
second,343
less,344
poor,345
full,346
tell,347
money,348
actor,349
instead,350
said,351
effects,352
enjoy,353
gives,354
definitely,355
day,356
playing,357
understand,358
absolutely,359
(and,360
audience,361
himself,362
went,363
book,364
couldn't,365
fan,366
next,367
remember,368
supposed,369
war,370
early,371
together,372
small,373
human,374
certainly,375
become,376
entire,377
liked,378
screen,379
later,380
often,381
short,382
start,383
2,384
hollywood,385
"all,",386
several,387
men,388
doing,389
felt,390
perhaps,391
"is,",392
loved,393
year,394
totally,395
against,396
sort,397
(the,398
10,399
night,400
kids,401
star,402
wonderful,403
"time,",404
production,405
wife,406
.,407
piece,408
seemed,409
you'll,410
camera,411
waste,412
else,413
becomes,414
top,415
able,416
she's,417
hope,418
wanted,419
course,420
home,421
classic,422
based,423
final,424
line,425
called,426
friends,427
death,428
women,429
performances,430
"that,",431
video,432
house,433
lost,434
them.,435
mind,436
live,437
gave,438
person,439
,440
wants,441
i'd,442
despite,443
they're,444
stupid,445
tries,446
perfect,447
school,448
under,449
father,450
name,451
low,452
turn,453
one.,454
sex,455
"story,",456
enjoyed,457
budget,458
already,459
"this,",460
sound,461
won't,462
lead,463
finally,464
either,465
turns,466
care,467
moments,468
dead,469
this.,470
him.,471
face,472
guess,473
written,474
problem,475
starts,476
favorite,477
behind,478
lines,479
mean,480
head,481
took,482
well.,483
"and,",484
terrible,485
"me,",486
episode,487
kill,488
title,489
guys,490
extremely,491
boring,492
itself,493
cannot,494
good.,495
me.,496
michael,497
lack,498
white,499
mother,500
story.,501
dialogue,502
dark,503
fine,504
highly,505
obviously,506
friend,507
stars,508
beginning,509
looked,510
all.,511
sometimes,512
evil,513
others,514
decent,515
heard,516
throughout,517
laugh,518
fans,519
feeling,520
wouldn't,521
run,522
case,523
/>in,524
wrong,525
expect,526
boy,527
taken,528
group,529
save,530
mr.,531
style,532
"good,",533
lives,534
attempt,535
quality,536
late,537
/>it,538
picture,539
life.,540
particularly,541
film's,542
directed,543
leave,544
works,545
complete,546
fight,547
across,548
entertaining,549
soon,550
exactly,551
"course,",552
awful,553
told,554
"movies,",555
opening,556
3,557
writing,558
type,559
coming,560
movies.,561
wonder,562
whose,563
game,564
close,565
viewer,566
worse,567
living,568
except,569
amazing,570
killer,571
/>if,572
says,573
stop,574
act,575
"acting,",576
shown,577
huge,578
thinking,579
"films,",580
taking,581
car,582
running,583
police,584
wish,585
killed,586
turned,587
past,588
somewhat,589
side,590
children,591
usually,592
major,593
knew,594
strong,595
known,596
parts,597
number,598
hour,599
",",600
robert,601
bad.,602
myself,603
direction,604
finds,605
matter,606
started,607
happens,608
obvious,609
it.<br,610
girls,611
call,612
beyond,613
brilliant,614
local,615
james,616
aren't,617
including,618
due,619
horrible,620
"here,",621
david,622
serious,623
"again,",624
humor,625
"characters,",626
female,627
saying,628
"fact,",629
tells,630
that.,631
order,632
upon,633
son,634
british,635
mostly,636
cinema,637
single,638
i'll,639
hit,640
none,641
town,642
involved,643
whether,644
"way,",645
clearly,646
out.,647
supporting,648
eyes,649
drama,650
cut,651
themselves,652
heart,653
important,654
modern,655
giving,656
/>there,657
released,658
"end,",659
actress,660
"bad,",661
bring,662
certain,663
however,664
kid,665
four,666
here.,667
history,668
english,669
/>but,670
lots,671
"one,",672
chance,673
haven't,674
relationship,675
seen.,676
stories,677
voice,678
simple,679
